fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
12,Florida,2000,white,9168,6719,657,15216,,2065690,4.43822645217821,441.574658254469,43.1782334384858,7.36606170335336,,3.97215450477463,7.29266117909248,
12,Florida,2000,black,7342,5770,699,16686,,792432,9.26514830294587,345.798873306964,41.8914059690759,21.0566963474469,,7.83374503490645,20.5404236969834,
12,Florida,2000,aapi,31,33,2,40,,74230,0.417620907988684,825,50,0.538865687727334,,0.36274350624144,0.523400384061362,
12,Florida,2000,aian,23,16,1,52,,12146,1.89362753169768,307.692307692308,19.2307692307692,4.28124485427301,,1.69628305475659,4.38495217223931,
12,Florida,2000,hispanic,1650,1039,143,3458,,710382,2.32269398717873,300.462695199537,41.3533834586466,4.86780351979639,,2.00614755237838,4.73136793720352,
13,Georgia,2000,total,7028,4308,345,11204,,2176576,3.22892469640389,384.505533737951,30.7925740806855,5.14753447616807,,2.76882057784099,5.13732255479654,
13,Georgia,2000,white,2820,1656,151,3979,,1223971,2.30397615629782,416.184971098266,37.9492334757477,3.2508940162798,,2.03559558591232,3.2433379882778,
13,Georgia,2000,black,3662,2297,171,6469,,760645,4.81433520236115,355.07806461586,26.4337610140671,8.50462436484825,,4.08381837512426,8.50882730361107,
13,Georgia,2000,aapi,27,16,1,30,,49295,0.547722892788315,533.333333333333,33.3333333333333,0.608580991987017,,0.501818352598663,0.60819358250288,
13,Georgia,2000,aian,8,19,2,6,,5030,1.59045725646123,3166.66666666667,333.333333333333,1.19284294234592,,0.814014400283287,1.18427019244937,
13,Georgia,2000,hispanic,299,164,9,337,,137635,2.17241254041487,486.646884272997,26.7062314540059,2.44850510407963,,1.70536598209039,2.33323974512417,
15,Hawaii,2000,total,1929,1464,199,2401,,295352,6.53118990221837,609.745939192003,82.8821324448147,8.12928302500068,,5.69418705521156,8.0943728470756,
15,Hawaii,2000,white,217,190,31,266,,40786,5.32045309665081,714.285714285714,116.541353383459,6.52184573137842,,4.8851723121815,6.5420063801525,
15,Hawaii,2000,black,47,34,4,58,,8904,5.2785265049416,586.206896551724,68.9655172413793,6.51392632524708,,5.04593009434506,7.08252974613697,
15,Hawaii,2000,aapi,1075,935,141,1527,,211543,5.08170915605811,612.311722331369,92.3379174852652,7.21839058725649,,4.56400956190012,7.19560528089323,
15,Hawaii,2000,aian,11,13,3,26,,621,17.7133655394525,500,115.384615384615,41.8679549114332,,17.7568751291217,40.7302704576115,
15,Hawaii,2000,hispanic,37,36,6,54,,33498,1.1045435548391,666.666666666667,111.111111111111,1.6120365394949,,1.01484059158842,1.64899104586263,
16,Idaho,2000,total,1127,925,78,1015,,370430,3.04241017196231,911.330049261084,76.8472906403941,2.74005885052507,,2.84546638170039,2.7153224986341,
16,Idaho,2000,white,864,663,60,786,,314418,2.74793427857184,843.51145038168,76.3358778625954,2.49985687842299,,2.59241506885311,2.46787078863562,
16,Idaho,2000,black,25,16,0,29,,2778,8.99928005759539,551.724137931034,0,10.4391648668107,,9.05013969233533,11.7490744994941,
16,Idaho,2000,aapi,3,3,1,2,,3803,0.788850907178543,1500,500,0.525900604785696,,0.712358048660869,0.472110599555068,
16,Idaho,2000,aian,64,50,7,94,,5976,10.7095046854083,531.914893617021,74.468085106383,15.7295850066934,,9.98894558523765,15.744471979033,
16,Idaho,2000,hispanic,114,131,5,103,,43455,2.62340352088367,1271.84466019417,48.5436893203884,2.37026809342999,,2.27462359239284,2.347764306525,
17,Illinois,2000,total,6607,8577,1490,29565,,3244944,2.0360906074188,290.106544901066,50.3974293928632,9.11109714065944,,1.62912916947586,7.98209724380704,
17,Illinois,2000,white,2137,1730,357,5771,,1953274,1.09406053630981,299.774735747704,61.8610292843528,2.95452660507435,,0.947279405390755,2.65367237334552,
17,Illinois,2000,black,3857,6116,1038,21706,,619884,6.22213188273935,281.76541048558,47.8208790196259,35.0162288428158,,4.78140235828151,30.4614875997353,
17,Illinois,2000,aapi,12,17,2,32,,108611,0.11048604653304,531.25,62.5,0.29462945742144,,0.0599620367479233,0.182571812207082,
17,Illinois,2000,aian,9,7,2,39,,6421,1.40165083320355,179.487179487179,51.2820512820513,6.07382027721539,,1.05065361361477,5.38693386182619,
17,Illinois,2000,hispanic,387,524,72,1522,,556754,0.695100529138542,344.283837056505,47.3061760840999,2.73370285619861,,0.566272930965464,2.52229497191705,
18,Indiana,2000,total,5576,4620,396,7482,,1574989,3.54034218651686,617.481956696071,52.9270248596632,4.75050936863686,,3.20465028535525,4.56987845181415,
18,Indiana,2000,white,3415,2749,256,3962,,1301110,2.62468200229035,693.841494194851,64.6138313982837,3.04509226737171,,2.42681075089399,2.90924014071707,
18,Indiana,2000,black,1744,1552,127,3047,,176117,9.90250799184633,509.353462422055,41.6803413193305,17.3009987678645,,8.65352332966199,16.8340565105966,
18,Indiana,2000,aapi,10,9,2,8,,16281,0.614212886186352,1125,250,0.491370308949082,,0.664827103036731,0.469155270784545,
18,Indiana,2000,aian,13,11,0,24,,4382,2.9666818804199,458.333333333333,0,5.47695116385212,,2.82134668254244,5.20160425455278,
18,Indiana,2000,hispanic,252,205,10,300,,77099,3.26852488359123,683.333333333333,33.3333333333333,3.89110105189432,,2.75883950613665,3.81478765878317,
19,Iowa,2000,total,5620,4967,446,5068,,733337,7.66359804564614,980.071033938437,88.0031570639306,6.91087453653641,,7.16348674413492,6.65625368324155,
19,Iowa,2000,white,4033,3597,331,3574,,658835,6.12141127900005,1006.43536653609,92.6133184107443,5.4247269801999,,5.69792936092625,5.16637146139405,
19,Iowa,2000,black,525,519,38,563,,26910,19.5094760312152,921.847246891652,67.4955595026643,20.9215904868079,,19.9485780539021,22.3067601083908,
